New NM B-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0,0,0.3125,0.473684,0.615385,0.833333,0.791667,0.826087,0.434783,0.285714,0.0416667,0,0,0,0,0,0,0,0
5-10,0,0,0.0555556,0.37037,0.588235,0.709091,0.754717,0.826923,0.54386,0.508772,0.222222,0.0322581,0,0,0,0,0,0,0,0
10-15,0,0,0.05,0.276596,0.4,0.525,0.62963,0.661017,0.526316,0.264706,0.166667,0,0,0,0,0,0,0,0,0
15-20,0,0,0.133333,0.245283,0.3,0.54386,0.536585,0.547619,0.464286,0.4,0.142857,0,0,0,0,0,0,0,0,0
20-25,0,0,0.111111,0.222222,0.434783,0.590909,0.588235,0.333333,0.2,0,1,0,0,0,0,0,0,0,0,0
25-30,0,0,0.151515,0.230769,0.321429,0.263158,0.352941,0.25,1,0,0,0,0,0,0,0,0,0,0,0
30-35,0,0,0.117647,0.16129,0.277778,0.285714,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
35-40,0,0,0.09375,0.0434783,0.230769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40-45,0,0,0.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-50,0,0,0,0.285714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
