Old NM R-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-10,0,0,0,0,0,0,0.8,0.666667,0.619048,0.421053,0.222222,0,0,0,0,0,0,0,0,0
10-15,0,0,0,0,0.692308,0.607143,0.675676,0.638298,0.675676,0.380952,0.25,0.0588235,0,0,0,0,0,0,0,0
15-20,0,0,0,0.315789,0.428571,0.567568,0.595238,0.37931,0.521739,0.416667,0.428571,0.6,0,0,0,0,0,0,0,0
20-25,0,0,0.0909091,0.153846,0.487179,0.576923,0.555556,0.5625,0.615385,0.666667,0.333333,0,0,0,0,0,0,0,0,0
25-30,0,0,0.111111,0.148148,0.176471,0.424242,0.466667,0.571429,0.333333,0,0,1,0,0,0,0,0,0,0,0
30-35,0,0,0,0.190476,0.263158,0.294118,0.333333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0
35-40,0,0,0,0.32,0.176471,0.666667,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0
40-45,0,0,0.0714286,0.230769,0.25,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45-50,0,0,0.0833333,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50-55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
