New ANM B-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0.0121951,0.169565,0.364253,0.540582,0.697115,0.744141,0.746047,0.617399,0.428008,0.20733,0.0256112,0,0,0,0,0,0,0,0
5-10,0,0,0.120061,0.356458,0.528891,0.676726,0.704899,0.690866,0.575046,0.408979,0.197829,0.0279933,0,0,0,0,0,0,0,0
10-15,0,0.00275482,0.139028,0.309183,0.49385,0.637967,0.661983,0.641872,0.550453,0.370033,0.196744,0.0406605,0,0,0,0,0,0,0,0
15-20,0,0.00169205,0.142123,0.279668,0.45566,0.588565,0.593376,0.580393,0.517219,0.346889,0.193567,0.0570756,0,0,0,0,0,0,0,0
20-25,0,0.00261097,0.119143,0.285525,0.406799,0.520403,0.533346,0.498771,0.454749,0.316507,0.184802,0.0716326,0.00519143,0,0,0,0,0,0,0
25-30,0,0.00104167,0.112821,0.238665,0.351351,0.455973,0.462956,0.419936,0.383094,0.28358,0.16493,0.0734856,0.0146341,0,0,0,0,0,0,0
30-35,0,0,0.0782884,0.211551,0.296936,0.361199,0.37706,0.33809,0.309416,0.238737,0.145791,0.0637376,0.0277469,0.00195312,0,0,0,0,0,0
35-40,0,0.000821018,0.0743088,0.171582,0.252718,0.287517,0.295175,0.256627,0.234956,0.193583,0.129975,0.0660112,0.0308483,0.00680272,0,0,0,0,0,0
40-45,0,0,0.0539283,0.142339,0.198327,0.221546,0.223645,0.183938,0.153193,0.137405,0.0852941,0.0530303,0.026087,0,0,0,0,0,0,0
45-50,0,0,0.0388786,0.102932,0.150767,0.156943,0.158115,0.126288,0.109002,0.0720339,0.0597015,0.0430108,0,0,0,0,0,0,0,0
50-55,0,0,0.0186301,0.0788688,0.100016,0.110358,0.0950495,0.0762712,0.0664112,0.0209205,0.0428571,0,0,0,0,0,0,0,0,0
55-60,0,0,0.00659782,0.0445344,0.0672858,0.0648923,0.0579777,0.0397149,0.031746,0.025,0,0,0,0,0,0,0,0,0,0
60-65,0,0,0.00177043,0.0221533,0.037619,0.028098,0.0244088,0.0170732,0.008,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0.00334104,0.0107663,0.00945495,0.00558659,0.0108696,0,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0.000880282,0.00095511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
