New ANM R-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0.0106383,0.109541,0.365385,0.527891,0.718941,0.725456,0.749791,0.651361,0.419861,0.18515,0.016092,0,0,0,0,0,0,0,0
5-10,0,0.00675676,0.12766,0.312457,0.520877,0.683794,0.69298,0.684223,0.605332,0.395493,0.202496,0.0299638,0,0,0,0,0,0,0,0
10-15,0,0.00851064,0.135606,0.313913,0.48882,0.645495,0.65068,0.636673,0.563339,0.369791,0.204593,0.0411157,0,0,0,0,0,0,0,0
15-20,0,0.00668896,0.142397,0.305062,0.449285,0.587011,0.601975,0.583041,0.507185,0.340394,0.19181,0.0578927,0,0,0,0,0,0,0,0
20-25,0,0.00486618,0.113981,0.278268,0.411552,0.519391,0.525927,0.498584,0.46101,0.315164,0.181398,0.0697949,0.00338753,0,0,0,0,0,0,0
25-30,0,0.00287632,0.103793,0.23791,0.350253,0.447732,0.453938,0.422712,0.3872,0.290757,0.164042,0.0714535,0.0157096,0,0,0,0,0,0,0
30-35,0,0.000834028,0.0891089,0.215105,0.306132,0.36641,0.371864,0.349608,0.310307,0.237689,0.150402,0.0664894,0.0231425,0.00217391,0,0,0,0,0,0
35-40,0,0.000749064,0.0774745,0.171296,0.250904,0.285261,0.300798,0.269585,0.239836,0.192038,0.119164,0.0527704,0.00877193,0.00613497,0,0,0,0,0,0
40-45,0,0,0.0529087,0.139623,0.196227,0.226897,0.223399,0.192849,0.158315,0.136638,0.0990991,0.040404,0.00826446,0,0,0,0,0,0,0
45-50,0,0,0.0393167,0.109148,0.146165,0.153193,0.150181,0.134242,0.0941021,0.0769231,0.0543933,0.0315789,0,0,0,0,0,0,0,0
50-55,0,0,0.0199947,0.0818576,0.103282,0.110644,0.0976645,0.0774119,0.0511364,0.0347826,0.028169,0,0,0,0,0,0,0,0,0
55-60,0,0,0.0103986,0.0474147,0.0606772,0.0685225,0.0551069,0.0319383,0.012987,0,0,0,0,0,0,0,0,0,0,0
60-65,0,0,0.000924214,0.0206302,0.0273768,0.0313112,0.0253566,0.01566,0.00884956,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0.00477454,0.0117532,0.00880799,0.00647249,0,0.027027,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0.000443853,0.00188501,0.0027933,0,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
