New NM B-S,0-50 MeV/c,50-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,500-550,550-600,600-650,650-700,700-750,750-800,800-850,850-900,900-950,950-1000,1000-1050,1050-1100,1100-1150,1150-1200,1200-1250,1250-1300,1300-1350,1350-1400,1400-1450,1450-1500,1500-1550,1550-1600,1600-1650,1650-1700,1700-1750,1750-1800,1800-1850,1850-1900,1900-1950,1950-2000
0-4.5 Deg,0,0,0,0,0.157895,0.325,0.422222,0.490566,0.615385,0.728571,0.895522,0.807692,0.880435,0.864865,0.843373,0.833333,0.858333,0.833333,0.826087,0.814815,0.778846,0.8,0.813725,0.829268,0.84375,0.78022,0.783133,0.898734,0.85,0.825397,0.873016,0.767442,0.779661,0.847826,0.836735,0.809524,0.861111,0.794872,0.944444,0.833333
4.5-9 Deg,0,0,0,0.0625,0.176471,0.235849,0.396694,0.478261,0.581731,0.773279,0.811448,0.817109,0.806366,0.801402,0.814286,0.809211,0.804211,0.755448,0.822709,0.792657,0.804255,0.824945,0.804494,0.814536,0.784504,0.774295,0.813665,0.792994,0.764706,0.790036,0.793651,0.741784,0.728643,0.759657,0.734884,0.770053,0.780749,0.761905,0.791908,0.794521
9-13.5 Deg,0,0,0,0.09375,0.156716,0.223529,0.362963,0.463343,0.5725,0.701245,0.78089,0.798354,0.801724,0.794569,0.782796,0.780287,0.765235,0.773496,0.756598,0.759384,0.766798,0.776286,0.733735,0.717208,0.731677,0.730769,0.708861,0.728296,0.755835,0.75089,0.708249,0.717833,0.664251,0.747423,0.700581,0.688679,0.681967,0.69338,0.745763,0.685039
13.5-18 Deg,0,0,0,0.0382166,0.131222,0.260736,0.330233,0.448833,0.566116,0.634994,0.727545,0.736387,0.720152,0.749489,0.762791,0.732403,0.711937,0.704908,0.702804,0.683544,0.703634,0.7086,0.706101,0.683544,0.700457,0.681775,0.68321,0.68171,0.669251,0.644678,0.668863,0.66548,0.643629,0.637168,0.643038,0.62973,0.607973,0.666667,0.621212,0.622711
18-22.5 Deg,0,0,0,0.039604,0.0973451,0.228145,0.318462,0.419903,0.517013,0.582547,0.656707,0.692351,0.687027,0.677215,0.689404,0.661647,0.651855,0.661634,0.65554,0.634515,0.653195,0.635392,0.641326,0.620074,0.60516,0.579566,0.597895,0.612863,0.599419,0.5856,0.590654,0.587156,0.558376,0.564607,0.52568,0.568093,0.52549,0.575342,0.497696,0.557471
22.5-27 Deg,0,0,0,0.0264026,0.0930736,0.197461,0.321879,0.381265,0.447548,0.521715,0.578365,0.637657,0.629688,0.615445,0.637963,0.622396,0.604258,0.581746,0.570899,0.569778,0.571276,0.570789,0.557559,0.528678,0.526667,0.524138,0.529101,0.509404,0.499093,0.539326,0.484043,0.5,0.535354,0.441767,0.436681,0.482587,0.40113,0.496599,0.461538,0.454545
27-31.5 Deg,0,0,0,0.00486618,0.0857143,0.152859,0.25358,0.312166,0.395361,0.466491,0.496522,0.564516,0.564264,0.554788,0.551891,0.55257,0.548276,0.521099,0.517559,0.518553,0.515256,0.490654,0.476651,0.444332,0.474736,0.456456,0.431408,0.465169,0.451791,0.405145,0.433735,0.416667,0.362245,0.333333,0.411765,0.283951,0.402439,0.363636,0.285714,0.396825
31.5-36 Deg,0,0,0,0.00754717,0.0815217,0.142292,0.218271,0.283494,0.333753,0.381784,0.436444,0.472969,0.488325,0.492462,0.479326,0.494505,0.47549,0.45864,0.461108,0.451835,0.42583,0.411765,0.437118,0.397764,0.406551,0.405963,0.389205,0.33564,0.381395,0.393333,0.277372,0.293103,0.308642,0.246753,0.34375,0.181818,0.108108,0.25,0.258065,0.137931
36-40.5 Deg,0,0,0,0,0.032538,0.0817963,0.170164,0.233583,0.275212,0.327416,0.366159,0.387514,0.419254,0.425045,0.403834,0.392764,0.396559,0.400812,0.369942,0.368859,0.345339,0.357923,0.325411,0.296117,0.300654,0.38785,0.366279,0.328,0.348624,0.204819,0.232143,0.186047,0.181818,0.214286,0.285714,0.214286,0.333333,0.166667,0.285714,0.181818
40.5-45 Deg,0,0,0,0,0.0139147,0.0678972,0.129657,0.192308,0.224483,0.252462,0.30273,0.319185,0.342679,0.345987,0.330502,0.331052,0.323815,0.305906,0.312284,0.313023,0.294294,0.264706,0.272981,0.214286,0.233918,0.189474,0.197368,0.231884,0.222222,0.157895,0.2,0.0526316,0.428571,0.0588235,0.166667,0.166667,0.25,0,0,1
45-49.5 Deg,0,0,0,0,0.00251467,0.0392938,0.0940285,0.141328,0.181437,0.212241,0.24064,0.244851,0.261486,0.269272,0.268868,0.255423,0.239971,0.254059,0.219613,0.205285,0.236769,0.215859,0.180723,0.158879,0.169014,0.0588235,0.0833333,0.166667,0.136364,0.25,0.0714286,0.333333,0.2,1,0,0,0,0,0,0
49.5-54 Deg,0,0,0,0,0,0.0110121,0.0531873,0.0958814,0.126534,0.148936,0.169353,0.187424,0.203203,0.19403,0.204905,0.197958,0.161453,0.159744,0.142512,0.151292,0.132184,0.133858,0.0869565,0.097561,0.0769231,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54-58.5 Deg,0,0,0,0,0,0.000456204,0.0199623,0.0552683,0.0810965,0.102659,0.119633,0.118058,0.129529,0.135933,0.125182,0.118211,0.109568,0.118863,0.117073,0.108844,0.0617284,0.0851064,0.0344828,0.0909091,0,0.111111,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
58.5-63 Deg,0,0,0,0,0,0,0.000714286,0.0128637,0.0467906,0.0568421,0.0634228,0.0796216,0.0780856,0.0909091,0.0960929,0.0849558,0.0780781,0.103825,0.0458716,0,0.0333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
