New NM B-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0,0.175676,0.294118,0.506494,0.686099,0.77381,0.746888,0.685512,0.42807,0.22963,0.0165289,0,0,0,0,0,0,0,0
5-10,0,0.00714286,0.13913,0.362881,0.539964,0.686642,0.686724,0.686308,0.5754,0.386273,0.190955,0.0299906,0,0,0,0,0,0,0,0
10-15,0,0.0143541,0.140741,0.296717,0.498328,0.634047,0.658537,0.641985,0.544666,0.358512,0.197246,0.0394981,0,0,0,0,0,0,0,0
15-20,0,0,0.112409,0.309505,0.438966,0.590783,0.573199,0.584771,0.498948,0.332175,0.20073,0.0588822,0,0,0,0,0,0,0,0
20-25,0,0.00636943,0.107679,0.264085,0.409076,0.510949,0.529713,0.504446,0.453077,0.309167,0.186816,0.0661626,0.00594732,0,0,0,0,0,0,0
25-30,0,0,0.0968604,0.257269,0.369464,0.448632,0.453149,0.42933,0.389251,0.273378,0.164697,0.0753296,0.0175439,0,0,0,0,0,0,0
30-35,0,0.00121655,0.093161,0.202503,0.29282,0.361001,0.374933,0.347052,0.30189,0.241965,0.147832,0.0793991,0.0229508,0.00241546,0,0,0,0,0,0
35-40,0,0,0.0602514,0.175952,0.244911,0.288762,0.306263,0.266667,0.236511,0.192284,0.121123,0.0431718,0.0125786,0.00518135,0,0,0,0,0,0
40-45,0,0,0.0539216,0.139806,0.185596,0.226004,0.22201,0.194949,0.158585,0.128713,0.09062,0.0493274,0.0161812,0,0,0,0,0,0,0
45-50,0,0,0.0385784,0.107912,0.154321,0.16384,0.150272,0.128869,0.103837,0.0691489,0.0442338,0.0342466,0,0,0,0,0,0,0,0
50-55,0,0,0.022252,0.0690096,0.100464,0.110062,0.0993022,0.0804426,0.0454002,0.0324484,0.0174216,0.0188679,0,0,0,0,0,0,0,0
55-60,0,0,0.0090197,0.045961,0.0619835,0.0591707,0.053952,0.0340017,0.0194274,0.0153846,0.00877193,0,0,0,0,0,0,0,0,0
60-65,0,0,0.00132538,0.016176,0.034603,0.0308949,0.0230933,0.0169372,0.00655022,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0.00463903,0.0130874,0.0167657,0.0102373,0.00129534,0.00568182,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0.00133289,0.00198188,0.000728863,0,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
