New NM R-S,0-50 MeV/c,50-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,500-550,550-600,600-650,650-700,700-750,750-800,800-850,850-900,900-950,950-1000,1000-1050,1050-1100,1100-1150,1150-1200,1200-1250,1250-1300,1300-1350,1350-1400,1400-1450,1450-1500,1500-1550,1550-1600,1600-1650,1650-1700,1700-1750,1750-1800,1800-1850,1850-1900,1900-1950,1950-2000
0-4.5 Deg,0,0,0,0.09375,0.259259,0.26087,0.317073,0.45,0.553846,0.716049,0.816092,0.828829,0.842975,0.845455,0.773438,0.875,0.796748,0.798611,0.870504,0.819549,0.834532,0.852174,0.88785,0.762712,0.807692,0.802198,0.811321,0.835443,0.753086,0.779412,0.783333,0.936508,0.8,0.921569,0.921569,0.77193,0.848485,0.861111,0.826087,0.823529
4.5-9 Deg,0,0,0,0.123457,0.244681,0.218182,0.40411,0.490291,0.568376,0.766102,0.824047,0.789617,0.844186,0.80404,0.828302,0.807771,0.816514,0.820841,0.809981,0.79823,0.803922,0.828974,0.800875,0.820276,0.789474,0.798982,0.801136,0.774026,0.79868,0.744186,0.742424,0.784091,0.770642,0.790476,0.754717,0.774194,0.79375,0.813793,0.748387,0.785714
9-13.5 Deg,0,0,0,0.0280374,0.150943,0.31,0.334426,0.479167,0.582,0.693122,0.795417,0.787402,0.784336,0.786013,0.779396,0.757746,0.77907,0.784038,0.763083,0.776828,0.74026,0.760633,0.746401,0.713326,0.746803,0.720867,0.735724,0.721683,0.72093,0.716946,0.727468,0.697572,0.704835,0.730978,0.747774,0.70068,0.684982,0.73029,0.623853,0.713615
13.5-18 Deg,0,0,0,0.0696203,0.164502,0.242902,0.389937,0.460102,0.524072,0.648363,0.73062,0.742788,0.7373,0.725131,0.707711,0.713192,0.708657,0.71437,0.713376,0.722747,0.704342,0.713103,0.697987,0.688694,0.708895,0.681319,0.674493,0.661465,0.680731,0.635036,0.657848,0.664093,0.618938,0.648718,0.634561,0.598291,0.63871,0.638686,0.630252,0.614407
18-22.5 Deg,0,0,0,0.0396825,0.134503,0.220374,0.320233,0.4,0.498252,0.56578,0.666667,0.703245,0.681216,0.694102,0.67205,0.674541,0.661496,0.647185,0.673965,0.656648,0.660068,0.632723,0.652881,0.627978,0.634488,0.606524,0.599138,0.600991,0.58926,0.585284,0.56654,0.562092,0.581633,0.546547,0.532051,0.582707,0.517647,0.569507,0.530055,0.5625
22.5-27 Deg,0,0,0,0.0341615,0.120614,0.20088,0.284783,0.356223,0.442424,0.513469,0.590521,0.619898,0.653967,0.628604,0.61255,0.617109,0.601285,0.58894,0.579674,0.578595,0.57636,0.56538,0.564828,0.553719,0.550962,0.498274,0.550685,0.566828,0.500901,0.497826,0.511166,0.513605,0.453674,0.539095,0.447761,0.428571,0.476821,0.462963,0.379032,0.435185
27-31.5 Deg,0,0,0,0.0128535,0.0852575,0.146399,0.240517,0.328982,0.381593,0.467435,0.496599,0.55869,0.57336,0.536199,0.537204,0.545332,0.542526,0.532462,0.524605,0.503756,0.498278,0.493626,0.481938,0.446392,0.463785,0.474016,0.465487,0.389868,0.438953,0.384615,0.484375,0.360577,0.414634,0.34058,0.242991,0.416667,0.405941,0.333333,0.25974,0.403846
31.5-36 Deg,0,0,0,0.00618557,0.047749,0.138308,0.215553,0.260465,0.322889,0.379459,0.44563,0.489885,0.50075,0.5,0.512734,0.486242,0.465472,0.455387,0.439182,0.459893,0.432253,0.403556,0.432373,0.361111,0.379648,0.411483,0.370968,0.307116,0.361702,0.355191,0.294118,0.293578,0.337349,0.328571,0.272727,0.34375,0.227273,0.290323,0.25,0.380952
36-40.5 Deg,0,0,0,0,0.0376749,0.104341,0.167825,0.228974,0.272658,0.326716,0.35271,0.399772,0.4,0.410602,0.420808,0.416728,0.404237,0.378892,0.371585,0.362308,0.373851,0.336748,0.352837,0.316279,0.293333,0.333333,0.282609,0.182432,0.261194,0.25,0.430556,0.191489,0.127273,0.238095,0.2,0.25,0.0714286,0.25,0.1,0.333333
40.5-45 Deg,0,0,0,0,0.0185547,0.0617036,0.129648,0.175194,0.22549,0.249335,0.297987,0.31442,0.331903,0.342802,0.33975,0.324022,0.312566,0.299735,0.293671,0.284258,0.264297,0.2897,0.274247,0.191235,0.220238,0.204918,0.309524,0.147059,0.169014,0.30303,0.16,0.0909091,0.1875,0.1875,0.166667,0,0.2,0,0.5,0
