Old NM R-S,0-100 MeV/c,100-200,200-300,300-400,400-500,500-600,600-700,700-800,800-900,900-1000,1000-1100,1100-1200,1200-1300,1300-1400,1400-1500,1500-1600,1600-1700,1700-1800,1800-1900,1900-2000
0-5 Deg,0,0,0.142857,0.454545,0.533333,0.7,0.714286,0.75,0.636364,0.384615,0.2,0,0,0,0,0,0,0,0,0
5-10,0,0,0.0833333,0.34375,0.409091,0.793103,0.640625,0.725664,0.521368,0.438017,0.264957,0.0258621,0,0,0,0,0,0,0,0
10-15,0,0,0.205128,0.291139,0.591837,0.626437,0.670996,0.632287,0.541322,0.436364,0.198312,0.0534759,0,0,0,0,0,0,0,0
15-20,0,0,0.0806452,0.273438,0.399015,0.580537,0.605863,0.53719,0.5425,0.35369,0.190202,0.0661765,0,0,0,0,0,0,0,0
20-25,0,0.015625,0.107143,0.256684,0.419672,0.512129,0.485782,0.544379,0.471616,0.33913,0.150538,0.0419847,0.00442478,0,0,0,0,0,0,0
25-30,0,0,0.10828,0.234127,0.330211,0.47786,0.441729,0.427365,0.419048,0.279188,0.147147,0.0878661,0.00543478,0,0,0,0,0,0,0
30-35,0,0,0.0858586,0.193846,0.33547,0.364821,0.351145,0.294118,0.347328,0.267857,0.201717,0.0549451,0.0314961,0,0,0,0,0,0,0
35-40,0,0.0190476,0.0801887,0.178922,0.250859,0.299419,0.294707,0.25625,0.240175,0.195035,0.112745,0.0377358,0.0166667,0,0,0,0,0,0,0
40-45,0,0,0.0640569,0.147844,0.213213,0.21608,0.21751,0.181989,0.13881,0.135922,0.0661157,0.0333333,0.0384615,0,0.1,0,0,0,0,0
45-50,0,0,0.0380952,0.106033,0.122478,0.163237,0.158249,0.138425,0.117409,0.0839695,0.0754717,0.0344828,0,0,0,0,0,0,0,0
50-55,0,0,0.0193906,0.0790378,0.0923483,0.099723,0.0887246,0.122754,0.0797546,0.021978,0,0.0714286,0,0,0,0,0,0,0,0
55-60,0,0,0.00456621,0.0460317,0.0546985,0.0547264,0.0487805,0.0561224,0,0.0666667,0,0,0,0,0,0,0,0,0,0
60-65,0,0,0.00232019,0.0191693,0.0327422,0.02693,0.0191083,0.016,0.0222222,0,0,0,0,0,0,0,0,0,0,0
65-70,0,0,0,0.0042796,0.015896,0.00663717,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0
70-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100-105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105-110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110-115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120-125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125-130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130-135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135-140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140-145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150-155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155-160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160-165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165-170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175-180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
